480, 0.548, 0.596, 0.000
340, 0.146, 0.168, 0.113
120, 0.109, 0.096, 0.147
060, 0.045, 0.039, 0.086
030, 0.034, 0.029, 0.037
000, 0.118, 0.072, 0.617
